,ds,season,workingday,weathersit,temp,hum,casual,registered,unique_id,day_sin,day_cos,week_sin,week_cos
0,2011-01-01 00:00:00,1,0,1,0.24,0.81,3,13,bike_sharing,0.0,1.0,-0.7818314824680299,0.6234898018587334
1,2011-01-01 01:00:00,1,0,1,0.22,0.8,8,32,bike_sharing,0.25881904510252074,0.9659258262890683,-0.7818314824680299,0.6234898018587334
2,2011-01-01 02:00:00,1,0,1,0.22,0.8,5,27,bike_sharing,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
3,2011-01-01 03:00:00,1,0,1,0.24,0.75,3,10,bike_sharing,0.7071067811865476,0.7071067811865476,-0.7818314824680299,0.6234898018587334
4,2011-01-01 04:00:00,1,0,1,0.24,0.75,0,1,bike_sharing,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334
5,2011-01-01 05:00:00,1,0,2,0.24,0.75,0,1,bike_sharing,0.9659258262890682,0.25881904510252096,-0.7818314824680299,0.6234898018587334
6,2011-01-01 06:00:00,1,0,1,0.22,0.8,2,0,bike_sharing,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334
7,2011-01-01 07:00:00,1,0,1,0.2,0.86,1,2,bike_sharing,0.9659258262890683,-0.25881904510252063,-0.7818314824680299,0.6234898018587334
8,2011-01-01 08:00:00,1,0,1,0.24,0.75,1,7,bike_sharing,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334
9,2011-01-01 09:00:00,1,0,1,0.32,0.76,8,6,bike_sharing,0.7071067811865476,-0.7071067811865475,-0.7818314824680299,0.6234898018587334
10,2011-01-01 10:00:00,1,0,1,0.38,0.76,12,24,bike_sharing,0.5000000000000003,-0.8660254037844385,-0.7818314824680299,0.6234898018587334
11,2011-01-01 11:00:00,1,0,1,0.36,0.81,26,30,bike_sharing,0.258819045102521,-0.9659258262890682,-0.7818314824680299,0.6234898018587334
12,2011-01-01 12:00:00,1,0,1,0.42,0.77,29,55,bike_sharing,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334
13,2011-01-01 13:00:00,1,0,2,0.46,0.72,47,47,bike_sharing,-0.25881904510252035,-0.9659258262890684,-0.7818314824680299,0.6234898018587334
14,2011-01-01 14:00:00,1,0,2,0.46,0.72,35,71,bike_sharing,-0.4999999999999997,-0.8660254037844388,-0.7818314824680299,0.6234898018587334
15,2011-01-01 15:00:00,1,0,2,0.44,0.77,40,70,bike_sharing,-0.7071067811865471,-0.7071067811865479,-0.7818314824680299,0.6234898018587334
16,2011-01-01 16:00:00,1,0,2,0.42,0.82,41,52,bike_sharing,-0.8660254037844385,-0.5000000000000004,-0.7818314824680299,0.6234898018587334
17,2011-01-01 17:00:00,1,0,2,0.44,0.82,15,52,bike_sharing,-0.9659258262890681,-0.2588190451025215,-0.7818314824680299,0.6234898018587334
18,2011-01-01 18:00:00,1,0,3,0.42,0.88,9,26,bike_sharing,-1.0,-1.8369701987210297e-16,-0.7818314824680299,0.6234898018587334
19,2011-01-01 19:00:00,1,0,3,0.42,0.88,6,31,bike_sharing,-0.9659258262890684,0.2588190451025203,-0.7818314824680299,0.6234898018587334
